IlmnID,beta_value
cg33549965_BC21,0.0424176012523264
cg47197840_BC21,0.313170628683364
cg41398132_TC21,0.705351188068483
cg34210856_TC21,0.918587247384433
cg41626287_BC21,0.138546858576266
cg31037852_BC21,0.657276793459378
cg40177989_BC21,0.680955043257007
cg39989817_BC21,0.0554586070801409
cg45179586_TC11,0.026009820038254
cg46038641_BC21,0.731303661337605
cg34660383_TC21,0.581307279420224
cg35104338_BC21,0.836602338959297
ch834336408_BO21,0.12241767241092
cg28660142_BC21,0.130031184799569
cg33367053_BC21,0.411803616797009
cg36713706_TC21,0.0500081737867586
cg43997323_BC21,0.580835202029198
cg38452807_TC21,0.134909049392079
cg29336469_BC21,0.684582983545861
cg38030110_BC11,0.970395741891329
cg32546683_TC21,0.202106368382823
cg37094668_TC21,0.0980834773057489
cg35295564_TC21,0.56803115971667
cg41502025_BC11,0.594127511428566
cg43892131_BC21,0.811033535749577
cg43959116_TC11,0.260264935720138
cg45306777_TC21,0.0760583612422894
cg35253898_TC21,0.0447587505102652
cg48150649_TC21,0.886634999901226
cg42806473_TC21,0.357837816081021
cg42697527_TC21,0.756227732942915
cg41896682_BC21,0.0655021571669914
cg41521328_BC21,0.0723298704060558
cg30959821_BC21,0.893649352064803
cg29705125_TC21,0.691185380134173
cg33662353_BC21,0.668174274711216
cg44496982_TC21,0.837662110763633
cg31108273_TC21,0.0901443014230418
cg42734408_TC21,0.681185434136978
cg32192960_BC21,0.457377310406145
cg29821336_TC21,0.783659902657882
cg37939655_TC21,0.809343389577559
cg32368089_BC21,0.788411707102703
cg44961198_BC21,0.904397681433291
cg38471933_BC21,0.0870641029098698
cg31967384_BC21,0.308928615472762
cg34835144_BC21,0.0354944300163314
cg47875847_TC21,0.196554489751221
cg33749924_BC11,0.0123561631907395
cg37502822_TC21,0.0810559215602755
cg39718847_TC21,0.866432751556647
cg45441211_BC21,0.935277160912707
cg37509350_BC21,0.758202150739515
cg45426924_TC21,0.838972395104778
cg45403237_TC21,0.68737869862948
cg46770176_BC21,0.749070592293413
cg39068504_TC21,0.909105196850028
cg34751329_BC21,0.0760392139165998
cg40683477_BC21,0.882942215704213
cg34986700_TC21,0.245451901455344
cg42640422_TC21,0.114410344102732
cg33964635_BC21,0.907212720784865
cg33850951_BC21,0.582069952089654
cg41786415_BC21,0.852334297098206
cg28525087_TC11,0.153556946441672
cg33560801_BC21,0.0849812998377982
cg34086743_BC11,0.847826975509936
cg42533840_TC21,0.692465126008418
cg45822673_BC21,0.0598726321371137
cg29347699_TC11,0.984590885804366
cg45660500_TC21,0.893495438330756
cg35175167_TC21,0.0521047797678269
cg46447951_BC21,0.0280404163899545
cg30924638_TC11,0.994910521911142
cg34441757_BC21,0.914134498330823
cg44834090_BC21,0.875490095199323
cg45565050_BC11,0.953867658266911
cg47666753_BC21,0.49617736738478
cg41907051_TC21,0.794851771085082
rs29509115_TO11,0.085891217804293
cg35389721_BC21,0.0445694383557737
cg32427947_BC21,0.688933298175102
cg30922199_TC21,0.562964551089915
cg30322598_BC21,0.971953801714791
cg29979455_BC21,0.337469382760076
cg39067485_TC21,0.696532691733619
cg42634347_BC21,0.793942694092554
cg30757246_TC21,0.714379827427426
cg45628234_TC11,0.943136576767411
cg39628218_BC11,0.0158189771912736
cg39438078_BC21,0.0941775979084844
cg36983348_TC21,0.826442974809786
cg41761834_BC11,0.246796177525143
cg32243233_BC11,0.659095329844049
cg33871569_TC11,0.0218613009864657
cg30858193_TC11,0.0120827861541659
cg45070451_TC21,0.534578843976471
cg34124009_BC21,0.852967924319043
cg38694580_BC21,0.277842336865539
cg43130227_BC21,0.127607647159731
cg44290341_TC21,0.586691623425237
cg39844480_BC21,0.0824066357118603
cg35232790_TC21,0.954978373128178
cg46475353_TC21,0.905497604841028
cg43629467_BC21,0.957144492122321
cg43676437_TC21,0.937396343656525
cg41359876_TC21,0.0727380220185108
cg34111349_BC21,0.648770161386123
cg45256127_TC21,0.944674387309124
cg31109318_TC21,0.906172743051006
cg32243117_TC21,0.924405319510369
cg45491835_BC21,0.049768105759017
cg44926272_TC21,0.805344269008224
cg41590391_TC11,0.945419468525036
cg42419065_TC21,0.858415013590187
cg45232394_TC21,0.38664934790684
cg33800913_TC21,0.774856034640722
cg31530167_BC21,0.954894918518479
cg36868144_BC21,0.0863714230439605
cg44286018_TC21,0.535525951240538
cg30897138_TC21,0.341019760308066
cg35690960_TC11,0.578959503353819
cg45883389_TC11,0.97749803446371
cg43128557_BC11,0.971625780904709
cg37006220_TC21,0.735312141648125
cg42075982_TC21,0.764530257475547
cg28986263_TC11,0.006300906860141
cg36003138_TC21,0.716482232573319
cg29192330_BC21,0.966474299939616
cg46668433_BC21,0.454621387306853
cg47920282_BC21,0.293354246668821
cg30886255_TC21,0.0208526659167305
cg41908459_TC21,0.0834595923144228
cg46122069_BC21,0.0522271069917937
cg40984476_BC11,0.0106532416851463
cg43721815_BC11,0.906011641025856
cg32499657_TC21,0.0582425705534501
cg35840552_BC11,0.938914882560394
cg42718465_TC21,0.258612791420112
cg42707878_TC21,0.0724106071386488
cg41785937_TC21,0.0797892553616506
cg37799834_BC21,0.868369168043784
cg45849737_TC21,0.0554469398520369
cg35629898_BC11,0.911592488702616
cg43657086_TC21,0.708431401193209
cg43549291_TC11,0.0107307139602731
cg45651163_TC21,0.929882832871319
cg36992729_BC21,0.919568685816305
cg31287680_BC21,0.480667974948294
cg32716650_TC21,0.964846870337235
cg33508661_BC21,0.121032859208216
cg43546232_BC21,0.855667006862765
cg42025657_TC21,0.92565248029867
cg30382099_TC21,0.0229365391960669
cg44313037_TC21,0.84848118597305
cg29418564_BC11,0.877281545443119
cg32590240_TC11,0.409066539082077
cg35754103_TC21,0.141502559080333
cg29303025_TC21,0.897199328234649
cg44233993_BC21,0.855977335290908
cg39382584_TC21,0.799534095124548
cg29799844_TC11,0.9866233496764
cg46279368_BC21,0.502200667205073
cg46890757_BC11,0.916934063085258
cg28739884_BC21,0.868081495182639
cg42039768_TC21,0.67767252084106
cg46136323_BC11,0.770045978322435
cg45022089_TC21,0.888214410981412
cg44384987_BC21,0.934418996882316
cg30074251_BC21,0.106423121536931
cg41688697_BC21,0.275102846842748
cg34798674_BC21,0.0654467483089661
cg30564038_BC21,0.72338916814583
cg35241620_TC11,0.0204466242959496
cg46636149_BC21,0.2641900283893
cg38376751_TC21,0.975919436372919
cg42755158_BC11,0.819392496516246
cg45148505_BC21,0.837743512086223
cg35921229_BC21,0.0555004844164307
uk674951855_BC21,0.905145210432306
cg31855875_TC21,0.697299983388329
cg32432260_TC21,0.942106104445948
cg31520398_BC21,0.888010134267101
cg45192132_TC21,0.957200774137512
cg33819645_BC21,0.404382814202846
cg44680531_TC21,0.880610410171353
cg30531696_TC21,0.899284807967792
cg48034390_BC21,0.869162047616494
cg39404806_TC21,0.937141562645012
cg42308044_BC21,0.913123219490011
cg34835028_TC21,0.905042875461124
cg33606567_BC21,0.922467225820089
cg46693282_TC21,0.836566771670391
cg36868709_BC11,0.0096919677174268
cg35298955_BC21,0.884236307567085
cg44088430_BC21,0.943297061570289
cg45445818_TC21,0.80865811050798
cg31798649_TC21,0.865670082097917
cg36584778_BC11,0.0093951991282919
cg45173126_BC21,0.849214787617608
cg47881772_BC21,0.336015255473571
cg44552314_TC21,0.0542328626498225
cg46307463_BC21,0.607216935244527
cg37387401_BC21,0.75318579042493
cg28857804_TC11,0.569752615266095
cg31910189_BC21,0.2666984151393
cg39339855_TC11,0.959826557797081
cg46520770_BC11,0.981931198990531
cg38989543_TC21,0.867236456485839
cg44184865_BC21,0.901217557077881
uk77491502_BC21,0.968257410013303
cg28558601_TC21,0.849196805263628
cg35837527_TC21,0.244017736903932
cg41325237_BC21,0.432027706911071
cg35820847_TC11,0.949795514068847
cg36434595_TC21,0.684184063382964
cg46439369_TC21,0.891713051603924
cg28147879_TC11,0.928463170781
cg29258651_BC21,0.893046771655238
cg42943133_BC21,0.758087941645637
cg47196590_TC21,0.592477136858714
cg37250804_BC21,0.763024424169945
cg46090555_TC21,0.0631343884353885
cg34954870_BC21,0.117579016177784
cg29183185_BC21,0.724007909004332
cg40054855_BC21,0.801504592405408
cg33983085_BC21,0.586757036343545
cg44271918_TC21,0.732783906864077
cg33326120_BC21,0.837303598901856
cg42822103_BC21,0.832221660589605
cg40133474_TC21,0.554488057732913
cg32293438_BC11,0.917826399937646
cg29555684_TC21,0.937403150862271
cg30100983_BC21,0.956796343798353
